"ano","#autores","#artigos"
"2000","1","5"
"2000","2","24"
"2000","3","12"
"2000","4","4"
"2000","5","3"
"2000","6","2"
"2001","1","15"
"2001","2","19"
"2001","3","13"
"2001","4","6"
"2001","6","2"
"2002","1","4"
"2002","2","17"
"2002","3","16"
"2002","4","4"
"2002","5","1"
"2002","6","1"
"2003","1","9"
"2003","2","26"
"2003","3","19"
"2003","4","7"
"2003","5","1"
"2003","6","1"
"2003","9","1"
"2004","1","11"
"2004","2","36"
"2004","3","19"
"2004","4","9"
"2004","5","5"
"2005","1","10"
"2005","2","35"
"2005","3","23"
"2005","4","18"
"2005","5","3"
"2005","7","1"
"2005","8","1"
"2006","1","16"
"2006","2","57"
"2006","3","67"
"2006","4","19"
"2006","5","12"
"2006","6","5"
"2006","7","1"
"2006","8","1"
"2007","1","23"
"2007","2","58"
"2007","3","53"
"2007","4","32"
"2007","5","17"
"2007","6","5"
"2007","7","3"
"2007","8","1"
"2007","9","1"
"2007","10","1"
"2007","12","1"
"2008","1","14"
"2008","2","61"
"2008","3","68"
"2008","4","41"
"2008","5","11"
"2008","6","8"
"2008","7","4"
"2008","10","1"
"2008","11","1"
"2009","1","15"
"2009","2","37"
"2009","3","50"
"2009","4","24"
"2009","5","22"
"2009","6","4"
"2009","7","6"
"2009","8","1"
"2009","9","1"
"2010","1","19"
"2010","2","41"
"2010","3","44"
"2010","4","29"
"2010","5","12"
"2010","6","4"
"2010","7","4"
"2010","8","1"
"2010","9","1"
"2010","10","1"
"2011","1","8"
"2011","2","43"
"2011","3","54"
"2011","4","29"
"2011","5","30"
"2011","6","4"
"2011","7","1"
"2011","8","3"
"2012","1","19"
"2012","2","61"
"2012","3","86"
"2012","4","50"
"2012","5","12"
"2012","6","12"
"2012","7","7"
"2012","8","1"
"2012","9","1"
"2012","10","2"
"#autores","#artigos"
"1","168"
"2","515"
"3","524"
"4","272"
"5","129"
"6","48"
"7","27"
"8","9"
"9","5"
"10","5"
"11","1"
"12","1"
"intervalo","#artigos"
"2001-2005","333"
"2009-2010","316"
"ano","#autores","percentagem"
"2010","1","12.18"
"2010","2","26.28"
"2010","3","28.21"
"2010","4","18.59"
"2010","5","7.69"
"2010","6","2.56"
"2010","7","2.56"
"2010","8","0.64"
"2010","9","0.64"
"2010","10","0.64"
